№;ID пользователя;Ник Telegram;Имя;№ сообщения;Текст сообщения;Дата отправки;Время отправки;Ответ пользователя;Дата ответа;Время ответа;Время реакции (сек);Время реакции
1;7787081414;;.;1;Здравствуйте! Я оплатил заказ, но не получил подтверждение на email. Что делать?;26.01.2026;14:20;Ужадите Email;26.01.2026;14:20;19;19 сек
2;6328857359;@reddeadredemption_official;Артем;2;Добрый день! Хочу вернуть товар, но потерял чек. Это возможно?;26.01.2026;14:53;Да, конечно возможно, отправьте ваши реквизиты;26.01.2026;14:54;41;41 сек
3;7787081414;;.;2;Добрый день! Хочу вернуть товар, но потерял чек. Это возможно?;26.01.2026;14:53;23а4а54смк54с34с423;26.01.2026;16:53;7223;2 ч 0 мин
4;1015433406;@danil2077;Данил;3;Привет, у меня не работает промокод SALE20. Пишет 'недействителен'. Почему?;26.01.2026;15:33;;;;;
5;6328857359;@reddeadredemption_official;Артем;3;Привет, у меня не работает промокод SALE20. Пишет 'недействителен'. Почему?;26.01.2026;15:33;у;26.01.2026;16:23;2986;49 мин 46 сек
6;7787081414;;.;3;Привет, у меня не работает промокод SALE20. Пишет 'недействителен'. Почему?;26.01.2026;15:33;вава2а2а234а23;26.01.2026;16:53;4821;1 ч 20 мин
7;1015433406;@danil2077;Данил;4;Здравствуйте! Заказ должен был прийти вчера, но курьер так и не приехал. Что происходит?!;26.01.2026;16:13;;;;;
8;6328857359;@reddeadredemption_official;Артем;4;Здравствуйте! Заказ должен был прийти вчера, но курьер так и не приехал. Что происходит?!;26.01.2026;16:13;аа;26.01.2026;16:23;582;9 мин 42 сек
9;7787081414;;.;4;Здравствуйте! Заказ должен был прийти вчера, но курьер так и не приехал. Что происходит?!;26.01.2026;16:13;ввававвавва;26.01.2026;16:53;2420;40 мин 20 сек
10;1015433406;@danil2077;Данил;5;Добрый день. Получил товар, но он не соответствует описанию на сайте. Цвет другой!;26.01.2026;16:53;;;;;
11;6328857359;@reddeadredemption_official;Артем;5;Добрый день. Получил товар, но он не соответствует описанию на сайте. Цвет другой!;26.01.2026;16:53;Здорово;26.01.2026;16:53;14;14 сек
12;7787081414;;.;5;Добрый день. Получил товар, но он не соответствует описанию на сайте. Цвет другой!;26.01.2026;16:53;вава;26.01.2026;16:53;19;19 сек
